urls,dates,type,district,surface,nbr_rooms,description,price,agency_name,details,floor_nbr
https://www.lkeria.com/annonces/immobilier/Vente-Terrain-Khraicia-Alger-35430-212397-2.html,NA,Terrain,Khraicia,600,0,"Description du bien
Vente Terrain Khraicia Vend terrain viabilisé de 600 m² à Khracia avec une façade de 18 m en un seul lot ou en deuxPrix : 7 millions le m² négociable,
Pour toutes
visites merci de nous contacter aux :
1.      0552 733 144  ou   0770
94 80 06
khaled.hakem2016@gmail.comOu passer a notre agence  "" Hakem
Agence Immobilière"" sise : Coopérative El Afak J09 Villa N° 05
A Jolie Vue Kouba Alger
 Appelez-nous au : 00213(0)770948006 / 00213(0)552733144
",42e6,Agence immobilière Hakem Agence Immobilière,Prix Négociable Surface :600 m2,NA
https://www.lkeria.com/annonces/immobilier/Vente-Terrain-Douera-Alger-35430-212286-2.html,NA,Terrain,Douera,220,0,"Description du bien
Vente Terrain Douera Dans un nouveau quartier en plein extension vend un terrain à bâtir a Douera route de Khrissia de 220 m²   à un Prix de 7,5 millions /m²Acte dans l indivisionSi vous êtes intéressés des visite peuvent êtres organiser ,RDV à prendre aux jours et heures qui vous conviens Appeler nous au : 0552 733 1440770 94 80 06                                 ou  PASSER NOUS VOIR A NOTRE AGENCE SISE : Coopérative  "" El AFAK "" J09  Villa N° 05 A Jolie Vue Kouba Appelez-nous au : 00213(0)770948006 / 00213(0)552733144
",165e5,Agence immobilière Hakem Agence Immobilière,Prix Négociable Avec Acte,NA
https://www.lkeria.com/annonces/immobilier/Vente-Appartement-Draria-Alger-35192-208411-2.html,NA,Appartement,Draria,76,2,"Description du bien
Vente Appartement Draria AG mon repos vous propose un appât type f2 d une superficie de 76M avec deux façade situe au RDC dans une belle résidence a draria calme et sécurise avec garage de 25M situe au sous-sol  Appelez-nous au : 0540888216 / 021353380 / 0771438790
",16e6,Agence immobilière mon repos,Prix Négociable Avec Acte Surface :76 m2 2 pièces Garage Livret foncier Gaz de ville,NA
https://www.lkeria.com/annonces/immobilier/Vente-Villa-Kouba-Alger-35430-212006-2.html,NA,Villa,Kouba,234,0,"Description du bien
Vente Villa Kouba Vend un Villa ancienne bâtisse à démolir bien situé pour construction 17 m de façade sur une route a Jolie Vue Kouba Appelez-nous au : 00213(0)770948006 / 00213(0)552733144
",5e7,Agence immobilière Hakem Agence Immobilière,Prix Négociable Avec Acte Surface :234 m2 Livret foncier Gaz de ville,NA
https://www.lkeria.com/annonces/immobilier/Vente-Terrain-Kouba-Alger-35430-212070-2.html,NA,Terrain,Kouba,0,0,"Description du bien
Vente Terrain Kouba Vente un lot de terrain à Kouba de 940 m² ,pour construction , très bien
situé route commercial avec une façade de 15 m donnant sur un carrefour
. Appelez-nous au : 00213(0)770948006
",16e7,Agence immobilière Hakem Agence Immobilière,Prix Négociable Avec Acte Gaz de ville,NA
https://www.lkeria.com/annonces/immobilier/Vente-Appartement-Kouba-Alger-35430-212392-2.html,NA,Appartement,Kouba,75,3,"Description du bien
Vente Appartement Kouba Vends un appartement F3 3éme ètage superficie de 75 m² Garidi 1 Kouba ;appartement refait à neuf et meublé.Climatiseur , chauffage , et toutes commoditéPrix : 2,550 Milliards
Pour toutes
visites merci de nous contacter aux :
1.   0552 733 144  ou   0770
94 80 06khaled.hakem2016@gmail.com
Ou passer a notre agence  "" Hakem
Agence Immobilière"" sise : Coopérative El Afak J09 Villa N° 05
A Jolie Vue Kouba Alger
 Appelez-nous au : 00213(0)770948006 / 00213(0)552733144
",255e5,Agence immobilière Hakem Agence Immobilière,Prix Négociable Avec Acte Surface :75 m2 3 pièces Gaz de ville,NA
https://www.lkeria.com/annonces/immobilier/Vente-Appartement-Ain-Benian-Alger-35430-212390-2.html,NA,Appartement,Ain Benian,84,4,"Description du bien
Vente Appartement Ain Benian Vend un trés beau appartement F4 12éme étage avec deux ascenseurs entretenus par un sous traitant Ain Benian cité AADL : Trés bien entretenu par des particulier Cotisation 2 500 DA/moisPrix : 1,2 Milliards
Pour toutes
visites merci de nous contacter aux :
0552 733 144  ou   0770
94 80 06khaled.hakem2016@gmail.com 
Ou passer a
notre agence  "" Hakem Agence Immobilière""
sise :
Coopérative
El Afak J09 Villa N° 05 A Jolie Vue Kouba Alger
 Appelez-nous au : 00213(0)770948006 / 00213(0)552733144
",14e6,Agence immobilière Hakem Agence Immobilière,Prix Négociable Avec Acte Surface :84 m2 4 pièces Gaz de ville,NA
https://www.lkeria.com/annonces/immobilier/Vente-Appartement-Souidania-Alger-35192-208412-2.html,NA,Appartement,Souidania,88,3,"Description du bien
Vente Appartement Souidania ag mon repos vous propose un f3 avec box au sou-sol dans une belle résidance calme et pas loin des commerces  Appelez-nous au : 0540888216 / 021353380 / 0771438790
",17e6,Agence immobilière mon repos,Prix Négociable Avec Acte Etage :1 Surface :88 m2 Construit :2016 3 pièces Garage Balcon Ascenseur Livret foncier Sanitaire Sous sole 2 Facades Cour Gaz de ville Eau chaude Electricité,1
https://www.lkeria.com/annonces/immobilier/Vente-Appartement-Dely-Ibrahim-Alger-175-212388-2.html,NA,Appartement,Dely Ibrahim,65,3,"Description du bien
Vente Appartement Dely Ibrahim L AGENCE CAGIM - ""FAYET CENTER"" - VEND A DELY BRAHIM - ROUTE DE CHRAGA - QUARTIER 11 DECEMBRE- SUR BOULEVARD COMMERCIAL ANIME JOUR & NUIT- DANS RESIDENCE CLOTUREE + GARDEE H/24 & 7j/7- APPARTEMENT TYPE F3 - 2eme ETAGE - 65m2 - AVEC CUISINE EQUIPEE - DOUCHE ITALIENNE- CLIMATISATION + VOLETS ROULANTS A COMMMANDE ELECTRIUQE- TOUTES COMMODITES - IDEAL COMME PIED-A-TERRE A ALGER- LIBRE DE SUITE-  Appelez-nous au : 0661590082
",175e5,Agence immobilière EXPERT IMMOBILIER INTERNATIONAL CAGIM,Prix Négociable Avec Acte Surface :65 m2 3 pièces Livret foncier Gaz de ville,NA
https://www.lkeria.com/annonces/immobilier/Vente-Terrain-Ouled-Fayet-Alger-175-204028-2.html,NA,Terrain,Ouled Fayet,255,0,"Description du bien
Vente Terrain Ouled Fayet O/FAYET PROCHE OPERA VEND TERRAIN 250m2  - CARREFOUR ENTREE OPERA DE OULED FAYET- LOTISSEMENT RESIDENTIEL CLOTURE + GARDE- ACTE + PERMIS DE CONSTRUIRE- IDEAL POUR HABITATION OU PROFESSION LIBERALE- TOUTES COMMODITES- PROCHE AUTOROUTE- LIBRE DE SUITE Appelez-nous au : 0661590082
",6375e4,Agence immobilière EXPERT IMMOBILIER INTERNATIONAL CAGIM,Avec Acte Surface :255 m2 Jardin Livret foncier Gaz de ville,NA
